linea;unidad;lat;lon;hora
110;3;-25.304555;-57.60926333333333;22:29:26
110;39;-25.319015;-57.39059666666667;22:44:00
110;1119;-25.31856833333333;-57.38975833333333;22:09:06
110;6;-25.308965;-57.595893333333336;22:48:54
110;1;-25.319003333333335;-57.39064;22:45:02
110;34;-25.318466666666666;-57.39000166666667;22:31:02
110;18;-25.318948333333335;-57.390575;22:30:06
110;26;-25.28679;-57.57201333333333;22:49:36
110;8;-25.31893;-57.39105166666667;22:44:40
133;391;-25.314038333333333;-57.581493333333334;22:49:00
133;409;-25.395258333333334;-57.542105;22:49:42
133;410;-25.391341666666666;-57.566555;22:28:54
133;18005;-25.39189;-57.566275;22:20:40
28;31;-25.276606666666666;-57.53979833333333;22:49:32
28;52;-25.290751666666665;-57.593581666666665;22:21:28
28;34;-25.270271666666666;-57.468543333333336;22:46:20
28;55;-25.298098333333332;-57.66524;22:48:02
28;61;-25.270081666666666;-57.468845;22:17:24
28;60;-25.27015;-57.46876833333334;22:26:46
28;33;-25.277985;-57.53918;22:49:00
501;12;-25.220101666666668;-57.47784;22:18:56
501;53;-25.243248333333334;-57.47834;22:49:16
501;54;-25.220088333333333;-57.47772833333333;22:07:12
501;56;-25.220305;-57.478296666666665;22:38:08
501;31;-25.219923333333334;-57.47763;22:01:40
3703;131;-25.24022666666667;-57.53216166666667;22:42:12
3703;133;-25.24011;-57.532065;22:14:34
3703;135;-25.239848333333335;-57.532145;22:25:46
3703;137;-25.240095;-57.532115;22:20:14
3703;128;-25.240156666666667;-57.53212333333333;22:31:08
165;83;-25.441761666666668;-57.37012;22:36:32
165;42;-25.312875;-57.58464333333333;22:48:54
165;122;-25.297625;-57.62297;22:49:26
165;8;-25.471225;-57.364085;22:50:00
165;20;-25.289405;-57.64909333333333;22:49:44
165;46;-25.441351666666666;-57.369998333333335;22:39:56
165;30;-25.442103333333332;-57.370005;22:06:02
165;87;-25.44868;-57.3647;22:47:54
165;123;-25.441638333333334;-57.36846833333333;22:09:34
165;129;-25.44142;-57.370063333333334;22:18:50
165;130;-25.441803333333333;-57.370113333333336;22:37:22
165;36;-25.35695;-57.439681666666665;22:49:34
165;40;-25.419361666666667;-57.339893333333336;22:48:56
165;97;-25.4414;-57.369895;22:32:10
165;117;-25.442138333333332;-57.369551666666666;22:39:46
