[2024-11-23T01:43:41.264Z] Error tracking positions for linea 187: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:41.269Z] Error tracking positions for linea 23: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:41.311Z] Error tracking positions for linea 38: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:41.314Z] Error tracking positions for linea 88: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:41.356Z] Error tracking positions for linea 28: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:41.572Z] Error tracking positions for linea 133: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:41.662Z] Error tracking positions for linea 41: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:41.671Z] Error tracking positions for linea 5: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:41.676Z] Error tracking positions for linea 1002: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:41.680Z] Error tracking positions for linea 203: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:41.698Z] Error tracking positions for linea 1502: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:41.701Z] Error tracking positions for linea 2: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:41.764Z] Error tracking positions for linea 47: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:41.791Z] Error tracking positions for linea 96: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:41.807Z] Error tracking positions for linea 56: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:41.832Z] Error tracking positions for linea 454: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:41.943Z] Error tracking positions for linea 35: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:41.962Z] Error tracking positions for linea 11: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:42.137Z] Error tracking positions for linea 128: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:42.145Z] Error tracking positions for linea 16501: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:42.152Z] Error tracking positions for linea 1006: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:42.157Z] Error tracking positions for linea 40: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:42.161Z] Error tracking positions for linea 3703: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:42.164Z] Error tracking positions for linea 30: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:42.168Z] Error tracking positions for linea 220: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:42.173Z] Error tracking positions for linea 165: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:42.178Z] Error tracking positions for linea 88: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:42.184Z] Error tracking positions for linea 31: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:42.188Z] Error tracking positions for linea 1005: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:42.202Z] Error tracking positions for linea 501: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:42.205Z] Error tracking positions for linea 28: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:42.211Z] Error tracking positions for linea 34: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:42.215Z] Error tracking positions for linea 233: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:42.220Z] Error tracking positions for linea 1003: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:42.226Z] Error tracking positions for linea 1504: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:42.234Z] Error tracking positions for linea 110: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:42.240Z] Error tracking positions for linea 187: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:42.246Z] Error tracking positions for linea 54: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:42.252Z] Error tracking positions for linea 23: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:42.259Z] Error tracking positions for linea 38: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:42.264Z] Error tracking positions for linea 232: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:42.267Z] Error tracking positions for linea 58: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:42.270Z] Error tracking positions for linea 49: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:42.277Z] Error tracking positions for linea 133: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:42.340Z] Error tracking positions for linea 203: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:42.369Z] Error tracking positions for linea 5: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:42.372Z] Error tracking positions for linea 41: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:42.377Z] Error tracking positions for linea 1002: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:42.387Z] Error tracking positions for linea 1502: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:42.392Z] Error tracking positions for linea 2: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:42.432Z] Error tracking positions for linea 47: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:42.439Z] Error tracking positions for linea 96: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:42.467Z] Error tracking positions for linea 56: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:42.489Z] Error tracking positions for linea 454: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:42.556Z] Error tracking positions for linea 1503: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:42.568Z] Error tracking positions for linea 35: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:42.620Z] Error tracking positions for linea 11: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:42.623Z] Error tracking positions for linea 1501: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:42.935Z] Error tracking positions for linea 3703: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:42.975Z] Error tracking positions for linea 165: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:42.979Z] Error tracking positions for linea 220: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:43.147Z] Error tracking positions for linea 232: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:43.150Z] Error tracking positions for linea 30: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:43.152Z] Error tracking positions for linea 58: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:43.154Z] Error tracking positions for linea 16501: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:43.219Z] Error tracking positions for linea 40: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:43.223Z] Error tracking positions for linea 1504: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:43.226Z] Error tracking positions for linea 1005: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:43.230Z] Error tracking positions for linea 31: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:43.256Z] Error tracking positions for linea 1503: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:43.285Z] Error tracking positions for linea 233: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:43.288Z] Error tracking positions for linea 501: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:43.303Z] Error tracking positions for linea 454: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:43.321Z] Error tracking positions for linea 128: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:43.325Z] Error tracking positions for linea 1006: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:43.330Z] Error tracking positions for linea 28: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:43.354Z] Error tracking positions for linea 110: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:43.370Z] Error tracking positions for linea 5: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:43.390Z] Error tracking positions for linea 34: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:43.400Z] Error tracking positions for linea 41: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:43.427Z] Error tracking positions for linea 38: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:43.432Z] Error tracking positions for linea 1003: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:43.447Z] Error tracking positions for linea 1002: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:43.452Z] Error tracking positions for linea 187: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:43.458Z] Error tracking positions for linea 1501: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:43.463Z] Error tracking positions for linea 54: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:43.501Z] Error tracking positions for linea 1502: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:43.504Z] Error tracking positions for linea 133: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:43.507Z] Error tracking positions for linea 2: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:43.510Z] Error tracking positions for linea 23: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:43.512Z] Error tracking positions for linea 96: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:43.515Z] Error tracking positions for linea 203: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
[2024-11-23T01:43:43.526Z] Error tracking positions for linea 49: EBUSY: resource busy or locked, open 'C:\Users\bruno\Documents\bondispy\2024-11-22.csv'
